cod_tienda,sales_surface_sqmeters,ventas_valor_per_store,Channel,revenue_per_sqmeter,cluster_labels,cluster_id
156,200,12307.46,Supermarkets,61.5373,cluster_1,1
25,300,26433.79,Supermarkets,88.1126333333,cluster_1,1
206,400,128818.79,Supermarkets,322.046975,cluster_1,1
81,100,17177.07,Supermarkets,171.7707,cluster_1,1
109,8300,209711.26,Hipermarkets,25.2664168675,cluster_0,0
17,1300,281496.33,Supermarkets,216.5356384615,cluster_1,1
132,700,26529.48,Supermarkets,37.8992571429,cluster_1,1
257,700,28650.94,Supermarkets,40.9299142857,cluster_1,1
104,500,10562.11,Supermarkets,21.12422,cluster_1,1
191,400,42716.95,Supermarkets,106.792375,cluster_1,1
177,800,37086.98,Supermarkets,46.358725,cluster_1,1
208,600,35247.93,Supermarkets,58.74655,cluster_1,1
220,300,27495.3,Supermarkets,91.651,cluster_1,1
90,9400,391565.33,Hipermarkets,41.6558861702,cluster_0,0
22,200,8170.36,Supermarkets,40.8518,cluster_1,1
86,600,18867.95,Supermarkets,31.4465833333,cluster_1,1
251,500,111147.28,Supermarkets,222.29456,cluster_1,1
98,500,76948.27,Supermarkets,153.89654,cluster_1,1
93,300,9114.93,Supermarkets,30.3831,cluster_1,1
62,900,62474.15,Supermarkets,69.4157222222,cluster_1,1
23,3000,249765.5,Hipermarkets,83.2551666667,cluster_1,1
127,500,2377.03,Supermarkets,4.75406,cluster_1,1
284,500,65553.67,Supermarkets,131.10734,cluster_1,1
135,700,13447.36,Supermarkets,19.2105142857,cluster_1,1
200,400,8073.97,Supermarkets,20.184925,cluster_1,1
95,300,40138.39,Supermarkets,133.7946333333,cluster_1,1
1,500,24415.94,Supermarkets,48.83188,cluster_1,1
163,500,13498.87,Supermarkets,26.99774,cluster_1,1
105,500,30077.45,Supermarkets,60.1549,cluster_1,1
112,600,34831.37,Supermarkets,58.0522833333,cluster_1,1
115,200,6065.71,Supermarkets,30.32855,cluster_1,1
231,1600,6019.74,Supermarkets,3.7623375,cluster_1,1
232,600,24376.44,Supermarkets,40.6274,cluster_1,1
258,1800,8285.38,Supermarkets,4.6029888889,cluster_1,1
203,1600,37841.74,Supermarkets,23.6510875,cluster_1,1
41,2900,3.9,Hipermarkets,0.0013448276,cluster_1,1
84,600,3431.8,Supermarkets,5.7196666667,cluster_1,1
287,200,13398.45,Supermarkets,66.99225,cluster_1,1
141,600,5187.05,Supermarkets,8.6450833333,cluster_1,1
167,1600,16255.43,Supermarkets,10.15964375,cluster_1,1
