cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
203,37841.74,Supermarkets,23.6510875,Ciudad Real,Industrial,Ciudad Real,10570,Suburban Stores,0
204,115176.04,Hipermarkets,14.5792455696,Cordoba,Industrial,Cordoba,10314,Suburban Stores,0
205,202970.41,Supermarkets,289.9577285714,Cordoba,Industrial,Cordoba,10314,For the tourists,2
206,128818.79,Supermarkets,322.046975,Guipuzkoa,Industrial,Guipuzkoa,16399,The Socials,1
207,2279762.07,Hipermarkets,199.9791289474,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
208,35247.93,Supermarkets,58.74655,Albacete,Industrial,Albacete,11104,Suburban Stores,0
209,112066.37,Supermarkets,140.0829625,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
210,6.99,Supermarkets,0.01398,Sevilla,Industrial,Sevilla,10717,Suburban Stores,0
211,19.2,Supermarkets,0.032,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
212,14.16,Supermarkets,0.0354,Huelva,Primary Sector,Huelva,10112,Suburban Stores,0
213,215691.91,Supermarkets,431.38382,Sevilla,Industrial,Sevilla,10717,For the tourists,2
214,193866.98,Supermarkets,215.4077555556,Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
215,124458.21,Supermarkets,155.5727625,Pontevedra,Industrial,Pontevedra,11881,Traditional Store,3
216,144225.57,Hipermarkets,43.7047181818,Tarragona,Primary Sector,Tarragona,12491,Slow stores,4
217,511261.68,Supermarkets,639.0771,Toledo,Industrial,Toledo,10533,For the tourists,2
218,439034.16,Hipermarkets,156.7979142857,Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
219,185194.06,Supermarkets,231.492575,Girona,touristic,Girona,12865,Slow stores,4
220,27495.3,Supermarkets,91.651,Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
221,210001.56,Supermarkets,131.250975,Castellon,Primary Sector,Castellon,12079,Slow stores,4
222,22208.21,Supermarkets,44.41642,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
223,196738.8,Supermarkets,122.96175,Salamanca,Industrial,Salamanca,12355,Traditional Store,3
224,568454.98,Supermarkets,437.2730615385,Valencia,Industrial,Valencia,12333,For the tourists,2
225,1807439.42,Hipermarkets,376.5498791667,Navarra,Primary Sector,Navarra,14718,The Socials,1
226,2971195.28,Hipermarkets,285.6918538462,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
227,182596.3,Supermarkets,228.245375,Alicante,touristic,Alicante,14962,Smaller Metropolis,5
228,5348471.18,Hipermarkets,402.1406902256,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
229,1029066.73,Supermarkets,514.533365,Zaragoza,Industrial,Zaragoza,13637,For the tourists,2
230,234012.24,Supermarkets,180.0094153846,Barcelona,Metropolis,Barcelona,14676,Smaller Metropolis,5
